Hospital_Name,Location,Location_Coordinates,State,District,Discipline_Systems_of_Medicine,Lat,Lon
Chakraborty Multi Speciality Hospital,Near Dollygunj Junction,"11.6357989, 92.7120575",Andaman and Nicobar Islands,South Andaman,Allopathic,11.6357989,92.7120575
Inhs Dhanvantri,Medical Board Office,"11.8311681, 92.6586401",Andaman and Nicobar Islands,South Andaman,Allopathic,11.8311681,92.6586401
Maricar Hospital,Near Masjid,"11.8311681, 92.6586401",Andaman and Nicobar Islands,South Andaman,Allopathic,11.8311681,92.6586401
Pillar Health Centre,"Lamba Line, P.B. No. 526","11.6498468, 92.7294624",Andaman and Nicobar Islands,South Andaman,Allopathic,11.6498468,92.7294624
"G B Pant Hospital, Port Blair","GB Pant Road, City Centre, Port Blair","11.6233774, 92.7264828",Andaman and Nicobar Islands,South Andaman,Allopathic,11.6233774,92.7264828
"Care Hospital, Banjara","Road No.1, Banjara Hills","17.4274003, 78.4311174",Andhra Pradesh,Hyderabad,Allopathic,17.4274003,78.4311174
L V Prasad Eye Institute,"Kallam Anji Reddy Campus, L V Prasad Marg, Banjara Hills","17.4230892, 78.42647",Andhra Pradesh,Hyderabad,Allopathic,17.4230892,78.42647
Apollo Hospitals,Jubilee Hills,"17.4325235, 78.4070152",Andhra Pradesh,Hyderabad,Allopathic,17.4325235,78.4070152
Mediciti Hospital,"5 - 9 - 22, Secretariat Road","17.406396, 78.471592",Andhra Pradesh,Hyderabad,Allopathic,17.406396,78.471592
"KIMS Hospital, Secunderabad","Secunderabad, 1 - 8 - 31/1, Minister Road, Secunderabad","17.430016, 78.4897935",Andhra Pradesh,Hyderabad,Allopathic,17.430016,78.4897935
Kamineni Hospital,L.B Nagar,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Yashoda Hospital,"Somajiguda, Rajbhavan Road","17.4233704, 78.4593342",Andhra Pradesh,Hyderabad,Allopathic,17.4233704,78.4593342
Fernandez Hospital,"Plot No.769, Road No.44, Jubilee Hills","17.4283705, 78.4065896",Andhra Pradesh,Hyderabad,Allopathic,17.4283705,78.4065896
Asian Institute of Gastroenterology,"6 - 3 - 661, Somajiguda","17.421204, 78.45829",Andhra Pradesh,Hyderabad,Allopathic,17.421204,78.45829
Udai Clinic Orthopedic Centre,"5 - 9 - 94, Chapel Road","30.6708576, -90.5784",Andhra Pradesh,Hyderabad,Allopathic,30.6708576,-90.5784
Homeocare International,"63, S.P.Road, Near Ashoka bhupal chambers, Begumpet
Sindhi Colony, Begumpet","17.4447068, 78.4663812",Andhra Pradesh,Hyderabad,Ayush/ Homeopathy,17.4447068,78.4663812
Nizams Institute of Medical Sciences (NIMS),Panjagutta,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Sathya Kidney Centre and Super Speciality Hospital,"3-6-426, Beside Ashish Residency, Tank Bund
Street Number 4, Devi Laxmi Bagh, Domalguda, Himayath Nagar
","17.4048879, 78.4819892",Andhra Pradesh,Hyderabad,Allopathic,17.4048879,78.4819892
Sunshine Hospital,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise Hotel
Sappu Bagh Apaprtment, Jogani, Ramgopalpet","17.4422003, 78.4862051",Andhra Pradesh,Hyderabad,Allopathic,17.4422003,78.4862051
Basavatarakam Indo American Cancer Institute And Research Centre,"Road No 14, Banjara Hills","17.421868, 78.4325607",Andhra Pradesh,Hyderabad,Allopathic,17.421868,78.4325607
Citizens Hospital,"Nallagandla, Serilingampally, Near Aparna Sarova","17.472855, 78.3101779",Andhra Pradesh,Hyderabad,Allopathic,17.472855,78.3101779
"Care Hospital, Nampally","Exhibition Grounds Road, Nampally
Chandra Vihar, Kattel Mandi, Abids","17.3854426, 78.4741288",Andhra Pradesh,Hyderabad,Allopathic,17.3854426,78.4741288
Medwin Hospital,"100, Raghava Ratna Towers, Nampally
Mahesh Nagar Colony","17.393152, 78.4726553",Andhra Pradesh,Hyderabad,Allopathic,17.393152,78.4726553
